text_features,amount,mcc,hour,category_id
АТБ,-67.4,5499,17,1
Рукавичка,-25.0,5411,14,1
АТБ,-108.9,5499,19,1
Скасування. АТБ,96.5,5411,19,1
АТБ,-96.5,5499,19,1
АТБ,-96.5,5411,19,1
THRASH,-35.9,5411,18,1
545708****0522,-63.44,4829,17,8
Близенько,-70.98,5499,14,1
АТБ,-73.5,5499,13,1
Близенько,-86.97,5499,18,1
АВРОРА,-99.0,5331,17,6
Термінал EasyPay,500.0,4829,17,8
GOLDI,-2007.0,5651,16,7
Термінал EasyPay,2500.0,4829,17,8
Арсен,-225.0,5499,17,1
Сільпо,-263.48,5411,14,1
P24 *Oliinyk Olena,100.0,6012,6,9
АТБ,-69.0,5499,19,1
АТБ,-43.9,5411,18,1
UNI,-495.0,5631,18,7
Magazyn Monako,-45.9,5943,17,5
АТБ,-185.9,5499,18,1
Roshen,-380.66,5441,18,15
Rozetka,-130.0,5722,14,3
Rozetka,-256.0,5722,14,3
P24 *Oliinyk Olena,105.0,6012,14,9
Vse vid 2 grn,-297.7,5399,14,16
Rozetka,-421.0,5722,13,3
Близенько,-16.99,5499,16,1
АТБ,-74.0,5499,16,1
Арсен,-36.39,5499,15,1
АТБ,-100.28,5499,15,1
Від: Оксана Котик | Переказ дочці,500.0,4829,11,8
Kafe COFFEE LAB,-71.0,5814,12,2
АТБ,-41.2,5499,15,1
АТБ,-77.7,5499,14,1
Lviv Croissants,-65.0,5814,11,2
АТБ,-103.9,5499,20,1
Приват карта,-150.0,4829,17,8
Від: Оксана Котик | Переказ дочці,500.0,4829,17,8
536354****6732,-20.0,4829,17,8
Близенько,-27.98,5499,16,1
City24,50.0,4829,14,8
АТБ,-103.3,5411,16,1
АТБ,-77.0,5499,14,1
Рукавичка,-75.59,5411,16,1
АВРОРА,-127.0,5331,15,6
Термінал EasyPay,500.0,4829,15,8
Термінал EasyPay,2500.0,4829,15,8
АТБ,-129.6,5499,17,1
Близенько,-16.99,5499,15,1
Близенько,-16.99,5499,16,1
Близенько,-55.98,5499,17,1
Близенько,-45.98,5499,17,1
Vatsak,-190.0,5441,17,15
Рукавичка,-55.3,5411,20,1
АТБ,-44.7,5499,19,1
Близенько,-39.97,5499,16,1
LVIVAVTODOR (AUTH),-30.0,4111,13,10
Приват карта,-1558.36,4829,19,8
Термінал City24,20.0,4829,14,8
АТБ,-80.57,5411,17,1
АТБ,-43.52,5499,16,1
Kafe COFFEE LAB,-79.0,5814,13,2
Приват карта,-50.0,4829,12,8
Близенько,-54.98,5499,14,1
Tsentr Druku 5k,-3.0,5943,14,5
Lviv Croissants,-65.0,5814,14,2
Близенько,-38.98,5499,19,1
АТБ,-71.22,5499,19,1
Lviv Croissants,-65.0,5814,15,2
EasyPay,-26.0,4131,14,8
Portmone,-24.0,7399,19,8
Близенько,-68.98,5499,19,1
Термінал City24,400.0,4829,18,8
АТБ,-53.04,5411,16,1
EVA,-155.99,5977,15,13
АТБ,-112.77,5411,18,1
Lviv Croissants,-65.0,5814,15,2
Близенько,-237.98,5499,16,1
АТБ,-102.37,5499,16,1
Від: Оксана Котик | Переказ дочці,750.0,4829,20,8
Lviv Croissants,-180.0,5814,14,2
Арсен,-56.99,5499,19,1
АТБ,-36.9,5411,19,1
Термінал City24,200.0,4829,18,8
АТБ,-102.14,5411,17,1
Аврора,-88.0,5331,19,6
Термінал City24,50.0,4829,19,8
АТБ,-93.9,5499,18,1
Lviv Croissants,-65.0,5814,15,2
Арсен,-90.55,5499,15,1
АТБ,-99.8,5499,17,1
Аврора,-34.0,5331,16,6
Термінал EasyPay,500.0,4829,16,8
LIQPAY*MINIMAL Pavlyuk,-3090.0,5944,0,0
P24 *Oliinyk Olena,1100.0,6012,23,9
P24 *Oliinyk Olena,1060.0,6012,23,9
THRASH,-93.87,5411,16,1
АТБ,-54.03,5499,16,1
Канцтовари книги,-132.0,5942,15,0
АТБ,-100.16,5499,15,1
Від: Оксана Котик,750.0,4829,13,8
АТБ,-63.36,5499,15,1
АТБ,-90.0,5411,18,1
MasterZoo,-398.05,5995,17,12
Ашан,-212.2,5411,16,1
АТБ,-90.83,5411,19,1
Portmone,-24.0,7399,19,8
Від: Оксана Котик,750.0,4829,17,8
EasyPay,-13.0,4131,14,8
Близенько,-82.97,5499,16,1
Арсен,-27.5,5499,15,1
АТБ,-48.13,5411,15,1
Kanctovari,-162.0,5943,15,5
Аврора,-399.0,5331,13,6
THRASH,-52.58,5411,13,1
АТБ,-52.03,5499,13,1
Аврора,-105.0,5331,13,6
EasyPay,-26.0,4131,10,8
Арсен,-38.75,5499,17,1
EasyPay,-26.0,4131,14,8
Portmone,-24.0,7399,13,8
Близенько,-71.98,5499,17,1
АТБ,-51.59,5411,16,1
Термінал City24,200.0,4829,16,8
Близенько,-86.97,5499,16,1
MasterZoo,-67.0,5995,16,12
Белліzoo,-452.0,5995,15,12
Термінал City24,200.0,4829,15,8
Термінал City24,200.0,4829,15,8
Термінал EasyPay,200.0,4829,14,8
Арсен,-134.53,5499,17,1
АТБ,-106.49,5499,17,1
Сільпо,-134.99,5411,17,1
Lviv Croissants,-70.0,5814,13,2
Термінал City24,200.0,4829,12,8
EasyPay,-13.0,4131,12,8
Рукавичка,-82.8,5411,15,1
АТБ,-51.59,5499,15,1
Арсен,-72.6,5499,15,1
Portmone,-24.0,7399,13,8
Арсен,-62.04,5499,12,1
Олег Г.,-6.24,4829,11,8
EasyPay,-26.0,4131,10,8
SimeynaPekarnya,-38.0,5462,16,2
Арсен,-97.35,5499,16,1
YouTube,-39.0,5815,14,0
Близенько,-44.98,5499,14,1
THRASH,-189.84,5411,16,1
АТБ,-103.49,5411,16,1
Від: Оксана Котик,750.0,4829,16,8
АТБ,-84.41,5499,14,1
Сільпо,-185.96,5411,14,1
Аврора,-73.0,5331,13,6
Арсен,-38.55,5499,18,1
ETAKE,-36.9,5200,18,16
Рукавичка,-13.9,5411,18,1
Magazyn Monako,-45.0,5943,18,5
Lviv Croissants,-65.0,5814,15,2
Близенько,-131.97,5499,13,1
Арсен,-90.95,5499,13,1
АТБ,-101.99,5499,16,1
Арсен,-95.4,5499,15,1
Від: Оксана Котик,750.0,4829,14,8
Близенько,-140.96,5499,19,1
TIGER TEA,-145.0,5399,15,16
АТБ,-99.32,5499,17,1
Сім-23,-75.0,5499,16,1
АТБ,-139.59,5499,18,1
Сільпо,-102.96,5411,18,1
Термінал City24,1000.0,4829,15,8
Близенько,-185.16,5499,20,1
Аврора,-93.0,5331,20,6
АТБ,-43.8,5499,20,1
Софія С.,-90.48,4829,19,8
Від: Оксана Котик | Переказ дочці,750.0,4829,16,8
Lviv Croissants,-135.0,5814,15,2
URBAN COFFEE-4,-85.0,5814,15,2
EasyPay,-26.0,4131,14,8
Portmone,-24.0,5999,14,0
Pekarnia,-44.9,5462,14,2
Близенько,-80.12,5499,18,1
Рукавичка,-122.53,5411,14,1
Аврора,-49.0,5331,14,6
Lviv Croissants,-95.0,5814,12,2
EasyPay,-26.0,4131,11,8
АТБ,-105.07,5499,16,1
MYaSNAIMPERIYaDOVZhENKA,-54.7,5499,15,1
АТБ,-188.57,5499,17,1
Близенько,-106.96,5499,19,1
АТБ,-45.8,5499,18,1
Аврора,-73.0,5331,17,6
IQ Pizza,-309.0,5812,15,2
Рукавичка,-83.7,5411,15,1
MYaSNAIMPERIYaDOVZhENKA,-123.65,5499,14,1
АТБ,-161.31,5499,14,1
Термінал City24,100.0,4829,14,8
Термінал EasyPay,2000.0,4829,14,8
Pekarnia,-68.85,5462,14,2
АТБ,-45.8,5499,14,1
АТБ,-115.7,5499,16,1
SimeynaPekarnya,-74.0,5462,16,2
Близенько,-102.98,5499,19,1
Сімейна Пекарня,-67.0,5462,19,2
АТБ,-97.5,5499,18,1
Від: Оксана Котик | Переказ дочці,750.0,4829,16,8
URBAN COFFEE-4,-85.0,5814,13,2
EasyPay,-26.0,4131,12,8
АТБ,-115.7,5499,16,1
Portmone,-24.0,7399,14,8
Близенько,-106.29,5499,17,1
АТБ,-66.93,5411,16,1
Vse vid 2 grn,-89.9,5399,16,16
Аврора,-117.0,5331,16,6
Термінал City24,500.0,4829,15,8
Рукавичка,-260.62,5411,15,1
YouTube,-39.0,7399,14,8
Близенько,-62.98,5499,16,1
EVA,-84.98,5977,15,13
АТБ,-92.03,5499,15,1
Аврора,-115.0,5331,15,6
SimeynaPekarnya,-174.0,5462,16,2
Аврора,-129.0,5331,16,6
АТБ,-76.96,5411,16,1
Vse vid 2 grn,-249.8,5399,15,16
Portmone,-24.0,7399,14,8
SimeynaPekarnya,-125.0,5462,17,2
Близенько,-100.97,5499,17,1
АТБ,-218.07,5499,17,1
Від: Оксана Котик | Переказ дочці,1500.0,4829,16,8
TIGER TEA,-155.0,5399,11,16
Kanctovari,-338.0,5943,11,5
EasyPay,-39.0,4131,10,8
Термінал City24,1000.0,4829,10,8
АТБ,-95.6,5499,16,1
Термінал EasyPay,100.0,4829,15,8
Рукавичка,-118.37,5411,17,1
Аврора,-206.0,5399,17,16
Рукавичка,-76.79,5411,14,1
Vse vid 2 grn,-144.8,5399,13,16
Термінал City24,500.0,4829,13,8
Portmone,-24.0,7399,12,8
EasyPay,-17.0,4131,15,8
EasyPay,-17.0,4131,14,8
Lviv Croissants,-75.0,5814,11,2
EasyPay,-17.0,4131,10,8
АТБ,-38.1,5499,14,1
Аврора,-44.0,5399,17,16
Portmone,-24.0,5999,15,0
Magazyn Monako,-8.0,5943,14,5
Арсен,-63.8,5499,14,1
АТБ,-55.33,5411,13,1
Lviv Croissants,-75.0,5814,12,2
"Київстар
+380981099379,-30.0,4814,10,11",,0,0,0
Від: Оксана Котик | Переказ дочці,750.0,4829,12,8
EasyPay,-17.0,4131,16,8
EasyPay,-17.0,4131,12,8
EasyPay,-17.0,4131,12,8
"Київстар
+380981099379,-30.0,4814,11,11",,0,0,0
АТБ,-115.18,5411,17,1
Portmone,-24.0,5999,14,0
SimeynaPekarnya,-63.0,5462,16,2
АТБ,-80.5,5411,16,1
АТБ,-61.67,5499,15,1
Близенько,-50.98,5499,16,1
Арсен,-160.94,5499,16,1
Рукавичка,-141.0,5411,15,1
Близенько,-124.98,5499,19,1
Аврора,-104.0,5331,19,6
АТБ,-176.25,5411,19,1
Vse vid 2 grn,-228.8,5399,19,16
URBAN COFFEE-4,-100.0,5814,16,2
EasyPay,-34.0,4131,15,8
YouTube,-39.0,7399,14,8
FERMERSKE MIaSKO,-30.5,5499,14,1
"Київстар
+380981099379,-30.0,4814,12,11",,0,0,0
Від: Оксана Котик | Переказ дочці,1500.0,4829,11,8
Аврора,-99.0,5331,16,6
АТБ,-80.82,5411,16,1
Magazin UNI,-65.0,5399,17,16
Pekarnia,-46.9,5462,17,2
АТБ,-104.98,5499,16,1
UNI,-110.0,5631,16,7
Близенько,-70.98,5499,19,1
АТБ,-124.2,5499,19,1
Від: Оксана Котик | Переказ дочці,750.0,4829,17,8
URBAN COFFEE-4,-100.0,5814,13,2
EasyPay,-26.0,4131,12,8
Близенько,-49.98,5499,20,1
Belli,-170.4,5995,16,12
Арсен,-66.87,5499,16,1
Близенько,-61.97,5499,16,1
АТБ,-65.93,5411,16,1
Арсен,-103.2,5499,14,1
АТБ,-92.61,5411,14,1
Виведення кешбеку 103.52₴,79.71,4829,12,8
SimeynaPekarnya,-92.0,5462,14,2
Pekarnia,-46.9,5462,14,2
Аврора,-101.0,5331,14,6
Від: Oliinyk Olena,625.0,6012,13,9
Від: Oliinyk Olena,50.0,6012,13,9
Portmone,-24.0,5999,19,0
АТБ,-93.2,5499,19,1
Близенько,-42.98,5499,15,1
TOR-BA,-136.6,5411,15,1
Близенько,-69.98,5499,17,1
TOR-BA,-64.8,5411,16,1
Близенько,-93.96,5499,17,1
